Date,DayOfWeek,Month,Year,DateID
2022-01-30,6,1,2022,644
2020-11-07,5,11,2020,645
2020-11-08,6,11,2020,646
2020-11-09,0,11,2020,647
2023-08-21,0,8,2023,648
2022-03-19,5,3,2022,649
2022-03-23,2,3,2022,650
2022-04-21,3,4,2022,651
2022-05-03,1,5,2022,652
2022-05-05,3,5,2022,653
2022-05-13,4,5,2022,654
2022-05-27,4,5,2022,655
2022-05-30,0,5,2022,656
2022-05-31,1,5,2022,657
2022-06-01,2,6,2022,658
2022-06-02,3,6,2022,659
2022-06-06,0,6,2022,660
2022-06-07,1,6,2022,661
2022-06-08,2,6,2022,662
2022-06-09,3,6,2022,663
2022-06-10,4,6,2022,664
2022-06-17,4,6,2022,665
2022-06-21,1,6,2022,666
2022-06-23,3,6,2022,667
2022-06-03,4,6,2022,668
2022-06-11,5,6,2022,669
2022-06-13,0,6,2022,670
2022-06-14,1,6,2022,671
2022-06-16,3,6,2022,672
2022-06-24,4,6,2022,673
2022-06-26,6,6,2022,674
2022-06-27,0,6,2022,675
2022-06-28,1,6,2022,676
2022-06-29,2,6,2022,677
2022-06-30,3,6,2022,678
2022-07-01,4,7,2022,679
2022-07-02,5,7,2022,680
2022-07-04,0,7,2022,681
2022-07-05,1,7,2022,682
2022-07-07,3,7,2022,683
2022-07-08,4,7,2022,684
2022-07-11,0,7,2022,685
2022-07-12,1,7,2022,686
2022-07-13,2,7,2022,687
2022-07-26,1,7,2022,688
2022-07-27,2,7,2022,689
2022-08-02,1,8,2022,690
2022-08-03,2,8,2022,691
2022-08-04,3,8,2022,692
2022-08-06,5,8,2022,693
2022-08-07,6,8,2022,694
2020-11-14,5,11,2020,695
2020-11-21,5,11,2020,696
2020-12-05,5,12,2020,697
2020-12-07,0,12,2020,698
2020-12-11,4,12,2020,699
2020-12-19,5,12,2020,700
2020-12-23,2,12,2020,701
2020-12-25,4,12,2020,702
2020-12-26,5,12,2020,703
2021-01-10,6,1,2021,704
2021-01-30,5,1,2021,705
2021-02-01,0,2,2021,706
2021-02-04,3,2,2021,707
2022-08-08,0,8,2022,708
2021-02-13,5,2,2021,709
2021-02-23,1,2,2021,710
2021-03-04,3,3,2021,711
2022-08-09,1,8,2022,712
2022-08-10,2,8,2022,713
2022-08-11,3,8,2022,714
2022-08-12,4,8,2022,715
2022-08-15,0,8,2022,716
2022-08-16,1,8,2022,717
2022-08-17,2,8,2022,718
2022-08-18,3,8,2022,719
2022-08-19,4,8,2022,720
2022-08-22,0,8,2022,721
2022-08-23,1,8,2022,722
2022-08-24,2,8,2022,723
